image_width,image_height,filter_size,filter_type,version,device_name,block_width,block_height,repeat_count,estimated_operations,cpu_time_ms,cpu_min_time_ms,cpu_max_time_ms,cpu_stddev_time_ms,gpu_kernel_time_ms,gpu_kernel_min_time_ms,gpu_kernel_max_time_ms,gpu_kernel_stddev_time_ms,gpu_total_time_ms,gpu_total_min_time_ms,gpu_total_max_time_ms,gpu_total_stddev_time_ms,gpu_allocation_time_ms,gpu_host_to_device_time_ms,gpu_device_to_host_time_ms,gpu_free_time_ms,kernel_speedup,total_speedup,cpu_gflops,gpu_kernel_gflops,max_abs_error,mean_abs_error,passed
512,512,3,box,cuda_naive_global_memory,"NVIDIA GeForce GTX 1650 with Max-Q Design",8,8,5,4718592,3.527840,3.255400,4.329700,0.405064,0.075194,0.072576,0.076800,0.001462,3.295494,3.292876,3.297100,0.001462,0.413700,1.811400,0.516700,0.478500,46.916758,1.070504,1.337530,62.752573,0.000000,0.000000,true
512,512,3,box,cuda_shared_memory_tiled,"NVIDIA GeForce GTX 1650 with Max-Q Design",8,8,5,4718592,3.527840,3.255400,4.329700,0.405064,0.074374,0.073760,0.075264,0.000516,1.853374,1.852760,1.854264,0.000516,0.157000,0.587300,0.568600,0.466100,47.433525,1.903469,1.337530,63.443766,0.000000,0.000000,true
512,512,3,box,cuda_shared_constant_filter,"NVIDIA GeForce GTX 1650 with Max-Q Design",8,8,5,4718592,3.527840,3.255400,4.329700,0.405064,0.068704,0.065536,0.071328,0.001972,3.442504,3.439336,3.445128,0.001972,0.681200,0.680200,1.015800,0.996600,51.348393,1.024789,1.337530,68.680019,0.000000,0.000000,true
512,512,3,box,cuda_separable,"NVIDIA GeForce GTX 1650 with Max-Q Design",8,8,5,3145728,3.527840,3.255400,4.329700,0.405064,0.087226,0.083296,0.101504,0.007144,2.029726,2.025796,2.044004,0.007144,0.203900,0.643700,0.555300,0.539600,40.445007,1.738087,0.891687,36.064275,0.000000,0.000000,true
512,512,3,box,cuda_naive_global_memory,"NVIDIA GeForce GTX 1650 with Max-Q Design",16,16,5,4718592,3.527840,3.255400,4.329700,0.405064,0.067968,0.063104,0.079424,0.006008,3.415068,3.410204,3.426524,0.006008,0.567200,0.537600,1.195300,1.047000,51.904425,1.033022,1.337530,69.423728,0.000000,0.000000,true
512,512,3,box,cuda_shared_memory_tiled,"NVIDIA GeForce GTX 1650 with Max-Q Design",16,16,5,4718592,3.527840,3.255400,4.329700,0.405064,0.073894,0.073632,0.074240,0.000247,1.996594,1.996332,1.996940,0.000247,0.424200,0.582600,0.533200,0.382700,47.741642,1.766929,1.337530,63.855880,0.000000,0.000000,true
512,512,3,box,cuda_shared_constant_filter,"NVIDIA GeForce GTX 1650 with Max-Q Design",16,16,5,4718592,3.527840,3.255400,4.329700,0.405064,0.087341,0.067584,0.102528,0.011845,2.349541,2.329784,2.364728,0.011845,0.223100,0.602200,0.824000,0.612900,40.391661,1.501502,1.337530,54.025060,0.000000,0.000000,true
512,512,3,box,cuda_separable,"NVIDIA GeForce GTX 1650 with Max-Q Design",16,16,5,3145728,3.527840,3.255400,4.329700,0.405064,0.080186,0.078112,0.081568,0.001306,1.940786,1.938712,1.942168,0.001306,0.178600,0.706900,0.528800,0.446300,43.995929,1.817738,0.891687,39.230584,0.000000,0.000000,true
512,512,3,box,cuda_naive_global_memory,"NVIDIA GeForce GTX 1650 with Max-Q Design",32,8,5,4718592,3.527840,3.255400,4.329700,0.405064,0.067533,0.063456,0.079360,0.005996,2.029833,2.025756,2.041660,0.005996,0.206900,0.670500,0.535700,0.549200,52.238912,1.737995,1.337530,69.871114,0.000000,0.000000,true
512,512,3,box,cuda_shared_memory_tiled,"NVIDIA GeForce GTX 1650 with Max-Q Design",32,8,5,4718592,3.527840,3.255400,4.329700,0.405064,0.075795,0.073728,0.077920,0.001486,3.412895,3.410828,3.415020,0.001486,0.262300,1.039500,1.153700,0.881600,46.544373,1.033680,1.337530,62.254497,0.000000,0.000000,true
512,512,3,box,cuda_shared_constant_filter,"NVIDIA GeForce GTX 1650 with Max-Q Design",32,8,5,4718592,3.527840,3.255400,4.329700,0.405064,0.069120,0.061536,0.079040,0.007954,1.735820,1.728236,1.745740,0.007954,0.191700,0.612700,0.532700,0.329600,51.039353,2.032377,1.337530,68.266668,0.000000,0.000000,true
512,512,3,box,cuda_separable,"NVIDIA GeForce GTX 1650 with Max-Q Design",32,8,5,3145728,3.527840,3.255400,4.329700,0.405064,0.087123,0.074752,0.115712,0.015067,3.267423,3.255052,3.296012,0.015067,0.536400,1.741300,0.493500,0.409100,40.492544,1.079701,0.891687,36.106663,0.000000,0.000000,true
512,512,3,box,cuda_naive_global_memory,"NVIDIA GeForce GTX 1650 with Max-Q Design",32,16,5,4718592,3.527840,3.255400,4.329700,0.405064,0.072998,0.067744,0.082208,0.005769,1.649998,1.644744,1.659208,0.005769,0.145400,0.583500,0.532300,0.315800,48.327635,2.138087,1.337530,64.639663,0.000000,0.000000,true
512,512,3,box,cuda_shared_memory_tiled,"NVIDIA GeForce GTX 1650 with Max-Q Design",32,16,5,4718592,3.527840,3.255400,4.329700,0.405064,0.101139,0.090144,0.108096,0.006116,2.461939,2.450944,2.468896,0.006116,0.183100,0.598200,0.756600,0.822900,34.881035,1.432952,1.337530,46.654432,0.000000,0.000000,true
512,512,3,box,cuda_shared_constant_filter,"NVIDIA GeForce GTX 1650 with Max-Q Design",32,16,5,4718592,3.527840,3.255400,4.329700,0.405064,0.082010,0.067584,0.096640,0.012100,2.553410,2.538984,2.568040,0.012100,0.638700,0.855100,0.537100,0.440500,43.017403,1.381619,1.337530,57.537069,0.000000,0.000000,true
512,512,3,box,cuda_separable,"NVIDIA GeForce GTX 1650 with Max-Q Design",32,16,5,3145728,3.527840,3.255400,4.329700,0.405064,0.095878,0.082496,0.101120,0.006802,3.783878,3.770496,3.789120,0.006802,0.563700,1.224500,1.015800,0.884000,36.794940,0.932334,0.891687,32.809558,0.000000,0.000000,true
512,512,3,gaussian,cuda_naive_global_memory,"NVIDIA GeForce GTX 1650 with Max-Q Design",8,8,5,4718592,3.413960,3.131500,3.828400,0.239389,0.092525,0.075264,0.108544,0.012327,3.416625,3.399364,3.432644,0.012327,0.764300,1.641700,0.525100,0.393000,36.897783,0.999220,1.382146,50.998133,0.000000,0.000000,true
512,512,3,gaussian,cuda_shared_memory_tiled,"NVIDIA GeForce GTX 1650 with Max-Q Design",8,8,5,4718592,3.413960,3.131500,3.828400,0.239389,0.076301,0.072256,0.088032,0.005894,1.688301,1.684256,1.700032,0.005894,0.161400,0.666500,0.526700,0.257400,44.743436,2.022128,1.382146,61.841972,0.000000,0.000000,true
512,512,3,gaussian,cuda_shared_constant_filter,"NVIDIA GeForce GTX 1650 with Max-Q Design",8,8,5,4718592,3.413960,3.131500,3.828400,0.239389,0.071373,0.067616,0.083968,0.006352,2.095673,2.091916,2.108268,0.006352,0.230900,0.473400,0.554300,0.765700,47.832787,1.629052,1.382146,66.111907,0.000000,0.000000,true
512,512,3,gaussian,cuda_separable,"NVIDIA GeForce GTX 1650 with Max-Q Design",8,8,5,3145728,3.413960,3.131500,3.828400,0.239389,0.083392,0.081824,0.085824,0.001316,2.179292,2.177724,2.181724,0.001316,0.709900,0.580800,0.510200,0.295000,40.938700,1.566545,0.921431,37.722180,0.000000,0.000000,true
512,512,3,gaussian,cuda_naive_global_memory,"NVIDIA GeForce GTX 1650 with Max-Q Design",16,16,5,4718592,3.413960,3.131500,3.828400,0.239389,0.064371,0.063168,0.066464,0.001366,1.877371,1.876168,1.879464,0.001366,0.326300,0.519900,0.575200,0.391600,53.035520,1.818479,1.382146,73.302845,0.000000,0.000000,true
512,512,3,gaussian,cuda_shared_memory_tiled,"NVIDIA GeForce GTX 1650 with Max-Q Design",16,16,5,4718592,3.413960,3.131500,3.828400,0.239389,0.075264,0.073280,0.078080,0.002112,2.606264,2.604280,2.609080,0.002112,0.382900,0.671900,0.942500,0.533700,45.359801,1.309906,1.382146,62.693878,0.000000,0.000000,true
512,512,3,gaussian,cuda_shared_constant_filter,"NVIDIA GeForce GTX 1650 with Max-Q Design",16,16,5,4718592,3.413960,3.131500,3.828400,0.239389,0.066253,0.064352,0.067584,0.001192,1.609653,1.607752,1.610984,0.001192,0.141000,0.618300,0.538500,0.245600,51.529294,2.120929,1.382146,71.221021,0.000000,0.000000,true
512,512,3,gaussian,cuda_separable,"NVIDIA GeForce GTX 1650 with Max-Q Design",16,16,5,3145728,3.413960,3.131500,3.828400,0.239389,0.097235,0.080640,0.126944,0.016143,2.277835,2.261240,2.307544,0.016143,0.358000,0.555500,0.654300,0.612800,35.110330,1.498774,0.921431,32.351741,0.000000,0.000000,true
512,512,3,gaussian,cuda_naive_global_memory,"NVIDIA GeForce GTX 1650 with Max-Q Design",32,8,5,4718592,3.413960,3.131500,3.828400,0.239389,0.063475,0.062144,0.065440,0.001083,2.372775,2.371444,2.374740,0.001083,0.736900,0.697600,0.567700,0.307100,53.784157,1.438805,1.382146,74.337570,0.000000,0.000000,true
512,512,3,gaussian,cuda_shared_memory_tiled,"NVIDIA GeForce GTX 1650 with Max-Q Design",32,8,5,4718592,3.413960,3.131500,3.828400,0.239389,0.068845,0.067584,0.071232,0.001335,1.614945,1.613684,1.617332,0.001335,0.242000,0.423100,0.479900,0.401100,49.589221,2.113979,1.382146,68.539556,0.000000,0.000000,true
512,512,3,gaussian,cuda_shared_constant_filter,"NVIDIA GeForce GTX 1650 with Max-Q Design",32,8,5,4718592,3.413960,3.131500,3.828400,0.239389,0.063130,0.061856,0.064480,0.000853,3.008630,3.007356,3.009980,0.000853,0.800700,0.593600,0.735100,0.816100,54.078593,1.134723,1.382146,74.744525,0.000000,0.000000,true
512,512,3,gaussian,cuda_separable,"NVIDIA GeForce GTX 1650 with Max-Q Design",32,8,5,3145728,3.413960,3.131500,3.828400,0.239389,0.081472,0.074592,0.104160,0.011371,1.714672,1.707792,1.737360,0.011371,0.212700,0.619600,0.489000,0.311900,41.903475,1.991028,0.921431,38.611154,0.000000,0.000000,true
