image_width,image_height,filter_size,filter_type,version,device_name,repeat_count,estimated_operations,cpu_time_ms,cpu_min_time_ms,cpu_max_time_ms,cpu_stddev_time_ms,gpu_kernel_time_ms,gpu_kernel_min_time_ms,gpu_kernel_max_time_ms,gpu_kernel_stddev_time_ms,gpu_total_time_ms,gpu_total_min_time_ms,gpu_total_max_time_ms,gpu_total_stddev_time_ms,gpu_allocation_time_ms,gpu_host_to_device_time_ms,gpu_device_to_host_time_ms,gpu_free_time_ms,kernel_speedup,total_speedup,cpu_gflops,gpu_kernel_gflops,max_abs_error,mean_abs_error,passed
512,512,3,box,cuda_naive_global_memory,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,4718592,3.422640,3.265000,3.674300,0.157339,0.068096,0.065024,0.073728,0.003230,3.135396,3.132324,3.141028,0.003230,0.654900,0.813100,0.962100,0.637200,50.261982,1.091613,1.378641,69.293232,0.000000,0.000000,true
512,512,3,box,cuda_shared_memory_tiled,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,4718592,3.422640,3.265000,3.674300,0.157339,0.073914,0.073344,0.074752,0.000481,1.736714,1.736144,1.737552,0.000481,0.149100,0.671800,0.538300,0.303600,46.305957,1.970757,1.378641,63.839293,0.000000,0.000000,true
512,512,3,box,cuda_shared_constant_filter,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,4718592,3.422640,3.265000,3.674300,0.157339,0.066714,0.064960,0.068864,0.001368,2.110014,2.108260,2.112164,0.001368,0.120900,0.728200,0.530700,0.663500,51.303481,1.622094,1.378641,70.729085,0.000000,0.000000,true
512,512,3,box,cuda_separable,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,3145728,3.422640,3.265000,3.674300,0.157339,0.079392,0.077824,0.079872,0.000789,1.928892,1.927324,1.929372,0.000789,0.324700,0.656000,0.541200,0.327600,43.110641,1.774407,0.919094,39.622733,0.000000,0.000000,true
512,512,3,gaussian,cuda_naive_global_memory,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,4718592,3.885200,3.216100,4.878600,0.641576,0.064448,0.063424,0.065760,0.000839,1.627248,1.626224,1.628560,0.000839,0.400300,0.381800,0.467900,0.312800,60.284260,2.387589,1.214504,73.215491,0.000000,0.000000,true
512,512,3,gaussian,cuda_shared_memory_tiled,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,4718592,3.885200,3.216100,4.878600,0.641576,0.078765,0.075488,0.090272,0.005763,2.307465,2.304188,2.318972,0.005763,0.183900,0.761700,0.608500,0.674600,49.326601,1.683753,1.214504,59.907368,0.000000,0.000000,true
512,512,3,gaussian,cuda_shared_constant_filter,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,4718592,3.885200,3.216100,4.878600,0.641576,0.071891,0.066048,0.088448,0.008388,3.132491,3.126648,3.149048,0.008388,0.465900,0.750000,1.060600,0.784100,54.042776,1.240291,1.214504,65.635183,0.000000,0.000000,true
512,512,3,gaussian,cuda_separable,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,3145728,3.885200,3.216100,4.878600,0.641576,0.086144,0.079872,0.093920,0.005721,1.942044,1.935772,1.949820,0.005721,0.166400,0.684700,0.585000,0.419800,45.101226,2.000573,0.809670,36.517088,0.000000,0.000000,true
512,512,3,sharpen,cuda_naive_global_memory,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,4718592,3.364820,3.126500,3.808700,0.241038,0.064013,0.062752,0.066496,0.001290,2.038813,2.037552,2.041296,0.001290,0.237100,0.723800,0.613600,0.400300,52.564799,1.650382,1.402331,73.713257,0.000001,0.000000,true
512,512,3,sharpen,cuda_shared_memory_tiled,"NVIDIA GeForce GTX 1650 with Max-Q Design",5,4718592,3.364820,3.126500,3.808700,0.241038,0.074304,0.071680,0.079904,0.002879,2.984804,2.982180,2.990404,0.002879,0.429900,0.705600,1.018300,0.756700,45.284507,1.127317,1.402331,63.503876,0.000001,0.000000,true
