image_width,image_height,filter_size,filter_type,best_kernel_time_version,best_kernel_block_width,best_kernel_block_height,best_total_time_version,best_total_block_width,best_total_block_height,best_kernel_speedup,best_total_speedup,correctness_status
512,512,3,box,cuda_naive_global_memory,32,8,cuda_naive_global_memory,32,16,52.238912,2.138087,passed
512,512,3,gaussian,cuda_shared_constant_filter,32,8,cuda_shared_constant_filter,32,16,54.078593,2.233044,passed
512,512,3,sharpen,cuda_naive_global_memory,32,8,cuda_shared_memory_tiled,32,8,56.651698,2.362051,passed
512,512,3,sobel,cuda_naive_global_memory,16,16,cuda_shared_memory_tiled,32,8,51.423720,2.308383,passed
512,512,5,box,cuda_separable,32,16,cuda_shared_constant_filter,8,8,91.745661,4.188125,passed
512,512,5,gaussian,cuda_separable,32,8,cuda_shared_constant_filter,32,8,101.463684,4.620888,passed
512,512,5,sharpen,cuda_naive_global_memory,32,8,cuda_shared_memory_tiled,32,16,72.276368,4.400921,passed
512,512,5,sobel,cuda_naive_global_memory,32,8,cuda_shared_memory_tiled,32,8,73.697319,4.026903,passed
512,512,7,box,cuda_separable,32,8,cuda_shared_constant_filter,32,8,181.788280,9.409600,passed
512,512,7,gaussian,cuda_separable,32,8,cuda_naive_global_memory,32,16,141.961434,8.268309,passed
512,512,7,sharpen,cuda_shared_constant_filter,32,8,cuda_shared_constant_filter,32,8,130.030779,8.495489,passed
512,512,7,sobel,cuda_shared_constant_filter,32,8,cuda_shared_constant_filter,16,16,114.221921,7.513752,passed
512,512,11,box,cuda_separable,32,8,cuda_shared_constant_filter,32,16,261.080269,15.502281,passed
512,512,11,gaussian,cuda_separable,32,8,cuda_shared_constant_filter,32,8,270.216889,15.649531,passed
512,512,11,sharpen,cuda_shared_constant_filter,32,16,cuda_shared_constant_filter,32,16,159.134922,15.580530,passed
512,512,11,sobel,cuda_shared_constant_filter,32,16,cuda_shared_constant_filter,32,8,157.245969,16.443283,passed
1024,1024,3,box,cuda_naive_global_memory,32,8,cuda_naive_global_memory,8,8,64.190262,3.597325,passed
1024,1024,3,gaussian,cuda_naive_global_memory,32,8,cuda_naive_global_memory,8,8,59.858760,2.992227,passed
1024,1024,3,sharpen,cuda_naive_global_memory,32,8,cuda_shared_constant_filter,32,8,61.237248,3.579747,passed
1024,1024,3,sobel,cuda_naive_global_memory,32,8,cuda_shared_constant_filter,16,16,58.052794,2.481986,passed
1024,1024,5,box,cuda_separable,32,8,cuda_shared_constant_filter,32,16,112.880585,5.794258,passed
1024,1024,5,gaussian,cuda_separable,32,8,cuda_shared_constant_filter,32,8,108.928444,5.878122,passed
1024,1024,5,sharpen,cuda_naive_global_memory,32,8,cuda_shared_memory_tiled,32,8,77.304358,6.080376,passed
1024,1024,5,sobel,cuda_shared_constant_filter,32,8,cuda_shared_constant_filter,32,16,92.559617,6.236097,passed
1024,1024,7,box,cuda_separable,32,8,cuda_shared_constant_filter,16,16,159.250927,11.025331,passed
1024,1024,7,gaussian,cuda_separable,32,8,cuda_shared_constant_filter,16,16,159.410483,11.388737,passed
1024,1024,7,sharpen,cuda_shared_constant_filter,32,8,cuda_shared_memory_tiled,16,16,125.425610,10.767675,passed
1024,1024,7,sobel,cuda_shared_constant_filter,32,8,cuda_shared_constant_filter,8,8,125.112327,10.637681,passed
1024,1024,11,box,cuda_separable,32,8,cuda_separable,32,8,350.975900,29.140427,passed
1024,1024,11,gaussian,cuda_separable,32,8,cuda_separable,8,8,370.075431,24.797653,passed
1024,1024,11,sharpen,cuda_shared_constant_filter,32,16,cuda_shared_constant_filter,32,16,227.961471,24.307870,passed
1024,1024,11,sobel,cuda_shared_constant_filter,32,8,cuda_shared_memory_tiled,32,8,216.325418,24.105233,passed
2048,2048,3,box,cuda_naive_global_memory,16,16,cuda_shared_memory_tiled,32,8,61.362224,4.244017,passed
2048,2048,3,gaussian,cuda_naive_global_memory,32,8,cuda_shared_memory_tiled,32,16,53.734006,3.885196,passed
2048,2048,3,sharpen,cuda_shared_constant_filter,32,8,cuda_shared_memory_tiled,32,16,68.885059,4.932921,passed
2048,2048,3,sobel,cuda_naive_global_memory,16,16,cuda_shared_constant_filter,32,16,67.993162,4.558111,passed
2048,2048,5,box,cuda_separable,32,8,cuda_naive_global_memory,8,8,114.291775,7.872496,passed
2048,2048,5,gaussian,cuda_separable,32,8,cuda_separable,16,16,132.215831,8.948658,passed
2048,2048,5,sharpen,cuda_shared_constant_filter,32,16,cuda_shared_constant_filter,32,16,98.723091,9.009565,passed
2048,2048,5,sobel,cuda_shared_constant_filter,32,8,cuda_shared_constant_filter,16,16,107.848822,9.222621,passed
2048,2048,7,box,cuda_separable,32,8,cuda_naive_global_memory,16,16,223.418458,15.402224,passed
2048,2048,7,gaussian,cuda_separable,32,8,cuda_shared_constant_filter,32,8,211.765545,15.997358,passed
2048,2048,7,sharpen,cuda_shared_constant_filter,32,8,cuda_shared_constant_filter,32,16,205.002243,17.003450,passed
2048,2048,7,sobel,cuda_shared_constant_filter,32,8,cuda_shared_constant_filter,32,16,206.123210,17.673198,passed
2048,2048,11,box,cuda_separable,32,8,cuda_shared_constant_filter,32,8,437.296509,31.687954,passed
2048,2048,11,gaussian,cuda_separable,32,8,cuda_separable,32,8,452.838800,33.483935,passed
2048,2048,11,sharpen,cuda_shared_constant_filter,32,16,cuda_shared_constant_filter,32,8,285.840223,31.344075,passed
2048,2048,11,sobel,cuda_shared_constant_filter,32,16,cuda_shared_constant_filter,16,16,287.554247,33.187501,passed
