image_width,image_height,filter_size,filter_type,best_kernel_time_version,best_kernel_block_width,best_kernel_block_height,best_total_time_version,best_total_block_width,best_total_block_height,best_kernel_speedup,best_total_speedup,correctness_status
4096,4096,3,box,cuda_shared_constant_filter,32,8,cuda_shared_memory_tiled,16,16,77.159239,4.432735,passed
4096,4096,3,gaussian,cuda_shared_constant_filter,8,8,cuda_shared_constant_filter,16,16,87.452315,4.544025,passed
4096,4096,3,sharpen,cuda_naive_global_memory,32,8,cuda_naive_global_memory,32,8,96.486578,4.772903,passed
4096,4096,3,sobel,cuda_naive_global_memory,16,16,cuda_naive_global_memory,32,8,90.271503,4.253142,passed
4096,4096,5,box,cuda_separable,32,8,cuda_shared_constant_filter,8,8,181.413750,9.417622,passed
4096,4096,5,gaussian,cuda_separable,32,8,cuda_shared_memory_tiled,32,16,163.381943,8.729523,passed
4096,4096,5,sharpen,cuda_shared_constant_filter,32,8,cuda_shared_constant_filter,32,8,110.488915,8.705145,passed
4096,4096,5,sobel,cuda_shared_constant_filter,32,8,cuda_shared_memory_tiled,8,8,139.661865,8.840934,passed
4096,4096,7,box,cuda_separable,32,8,cuda_shared_constant_filter,32,8,238.799248,16.578086,passed
4096,4096,7,gaussian,cuda_separable,32,8,cuda_shared_constant_filter,32,8,240.489333,16.037806,passed
4096,4096,7,sharpen,cuda_shared_constant_filter,32,8,cuda_shared_constant_filter,32,16,205.207953,15.894861,passed
4096,4096,7,sobel,cuda_shared_constant_filter,32,8,cuda_shared_constant_filter,32,16,203.853015,16.533958,passed
4096,4096,11,box,cuda_separable,32,8,cuda_separable,32,8,464.636028,36.696784,passed
4096,4096,11,gaussian,cuda_separable,32,8,cuda_separable,32,8,466.565398,35.416080,passed
4096,4096,11,sharpen,cuda_shared_constant_filter,32,16,cuda_shared_constant_filter,32,8,311.603331,34.958070,passed
4096,4096,11,sobel,cuda_shared_constant_filter,32,16,cuda_shared_constant_filter,32,8,297.153816,36.616175,passed
