image_width,image_height,filter_size,filter_type,best_kernel_time_version,best_total_time_version,best_kernel_speedup,best_total_speedup,correctness_status
512,512,3,box,cuda_shared_constant_filter,cuda_shared_memory_tiled,51.303481,1.970757,passed
512,512,3,gaussian,cuda_naive_global_memory,cuda_naive_global_memory,60.284260,2.387589,passed
512,512,3,sharpen,cuda_naive_global_memory,cuda_shared_constant_filter,52.564799,2.009714,passed
512,512,3,sobel,cuda_naive_global_memory,cuda_shared_memory_tiled,55.780434,2.023500,passed
512,512,5,box,cuda_separable,cuda_shared_constant_filter,97.826063,3.762275,passed
512,512,5,gaussian,cuda_separable,cuda_separable,97.790330,4.162237,passed
512,512,5,sharpen,cuda_shared_constant_filter,cuda_shared_memory_tiled,72.414342,4.169102,passed
512,512,5,sobel,cuda_shared_constant_filter,cuda_shared_constant_filter,72.346368,4.021355,passed
512,512,7,box,cuda_separable,cuda_shared_constant_filter,128.067491,7.616364,passed
512,512,7,gaussian,cuda_separable,cuda_separable,126.129574,7.071097,passed
512,512,7,sharpen,cuda_shared_constant_filter,cuda_shared_constant_filter,88.928081,7.323259,passed
512,512,7,sobel,cuda_shared_constant_filter,cuda_shared_constant_filter,88.015595,7.046196,passed
512,512,11,box,cuda_separable,cuda_separable,235.741026,14.425165,passed
512,512,11,gaussian,cuda_separable,cuda_separable,246.155097,15.093211,passed
512,512,11,sharpen,cuda_shared_constant_filter,cuda_shared_constant_filter,92.674995,13.393285,passed
512,512,11,sobel,cuda_shared_constant_filter,cuda_shared_constant_filter,91.977967,13.971200,passed
1024,1024,3,box,cuda_naive_global_memory,cuda_shared_constant_filter,58.049574,3.019674,passed
1024,1024,3,gaussian,cuda_naive_global_memory,cuda_naive_global_memory,61.984584,2.789029,passed
1024,1024,3,sharpen,cuda_naive_global_memory,cuda_shared_memory_tiled,62.070672,2.817568,passed
1024,1024,3,sobel,cuda_naive_global_memory,cuda_shared_memory_tiled,56.615136,2.255876,passed
1024,1024,5,box,cuda_separable,cuda_shared_constant_filter,110.869528,5.751985,passed
1024,1024,5,gaussian,cuda_separable,cuda_shared_constant_filter,131.442803,7.816149,passed
1024,1024,5,sharpen,cuda_shared_constant_filter,cuda_shared_memory_tiled,82.627646,5.610253,passed
1024,1024,5,sobel,cuda_shared_constant_filter,cuda_naive_global_memory,79.372565,6.121349,passed
1024,1024,7,box,cuda_separable,cuda_shared_constant_filter,156.249358,11.402079,passed
1024,1024,7,gaussian,cuda_separable,cuda_separable,174.520575,11.872408,passed
1024,1024,7,sharpen,cuda_shared_constant_filter,cuda_shared_memory_tiled,96.380252,9.917412,passed
1024,1024,7,sobel,cuda_shared_constant_filter,cuda_naive_global_memory,101.214797,10.396196,passed
1024,1024,11,box,cuda_separable,cuda_separable,282.176012,23.013138,passed
1024,1024,11,gaussian,cuda_separable,cuda_shared_constant_filter,252.790124,23.374759,passed
1024,1024,11,sharpen,cuda_shared_constant_filter,cuda_shared_constant_filter,94.067335,22.537740,passed
1024,1024,11,sobel,cuda_shared_constant_filter,cuda_shared_constant_filter,44.207386,6.687947,passed
2048,2048,3,box,cuda_shared_constant_filter,cuda_shared_constant_filter,62.709186,3.136560,passed
2048,2048,3,gaussian,cuda_naive_global_memory,cuda_shared_memory_tiled,68.072444,3.832745,passed
2048,2048,3,sharpen,cuda_naive_global_memory,cuda_naive_global_memory,67.613518,3.843184,passed
2048,2048,3,sobel,cuda_naive_global_memory,cuda_shared_constant_filter,68.135161,4.469940,passed
2048,2048,5,box,cuda_shared_constant_filter,cuda_shared_constant_filter,42.883574,3.875424,passed
2048,2048,5,gaussian,cuda_separable,cuda_shared_constant_filter,115.811328,8.114386,passed
2048,2048,5,sharpen,cuda_shared_constant_filter,cuda_naive_global_memory,81.314172,7.063672,passed
2048,2048,5,sobel,cuda_shared_constant_filter,cuda_naive_global_memory,41.900035,4.124957,passed
2048,2048,7,box,cuda_separable,cuda_shared_constant_filter,135.090812,13.069004,passed
2048,2048,7,gaussian,cuda_separable,cuda_separable,163.758041,14.337145,passed
2048,2048,7,sharpen,cuda_shared_constant_filter,cuda_shared_constant_filter,111.509640,14.154583,passed
2048,2048,7,sobel,cuda_shared_constant_filter,cuda_shared_constant_filter,88.259524,8.262282,passed
2048,2048,11,box,cuda_separable,cuda_separable,295.736502,30.644802,passed
2048,2048,11,gaussian,cuda_separable,cuda_separable,311.912111,26.708849,passed
2048,2048,11,sharpen,cuda_shared_constant_filter,cuda_shared_constant_filter,101.542302,24.518317,passed
2048,2048,11,sobel,cuda_shared_constant_filter,cuda_shared_constant_filter,98.365209,27.824055,passed
