image_width,image_height,filter_size,filter_type,best_kernel_time_version,best_kernel_block_width,best_kernel_block_height,best_total_time_version,best_total_block_width,best_total_block_height,best_kernel_speedup,best_total_speedup,correctness_status
512,512,3,box,cuda_register_tiled,16,16,cuda_multi_output,32,16,176.925421,2.643872,passed
512,512,3,gaussian,cuda_register_tiled,8,8,cuda_register_tiled,32,16,158.425723,2.551299,passed
512,512,3,sharpen,cuda_multi_output,32,8,cuda_shared_memory_tiled,16,16,163.893003,2.518902,passed
512,512,3,sobel,cuda_shared_constant_filter,16,16,cuda_multi_output,32,16,154.768558,2.667033,passed
512,512,5,box,cuda_register_tiled,32,8,cuda_separable,8,8,269.301534,5.874932,passed
512,512,5,gaussian,cuda_register_tiled,32,8,cuda_separable,8,8,263.831212,5.816895,passed
512,512,5,sharpen,cuda_register_tiled,16,16,cuda_multi_output,8,8,269.420114,5.880303,passed
512,512,5,sobel,cuda_register_tiled,32,8,cuda_shared_memory_tiled,32,16,266.917000,6.020748,passed
512,512,7,box,cuda_separable,32,16,cuda_naive_global_memory,32,16,409.854663,10.801346,passed
512,512,7,gaussian,cuda_shared_constant_filter,32,8,cuda_shared_constant_filter,16,16,366.685362,10.997666,passed
512,512,7,sharpen,cuda_shared_constant_filter,16,16,cuda_shared_constant_filter,32,8,371.442640,10.877229,passed
512,512,7,sobel,cuda_shared_constant_filter,16,16,cuda_shared_constant_filter,16,16,364.335615,11.318126,passed
512,512,11,box,cuda_separable,32,8,cuda_naive_global_memory,32,8,539.346838,23.000208,passed
512,512,11,gaussian,cuda_separable,16,16,cuda_separable,16,16,654.549494,23.548718,passed
512,512,11,sharpen,cuda_shared_constant_filter,16,16,cuda_register_tiled,32,8,502.724326,21.994385,passed
512,512,11,sobel,cuda_shared_constant_filter,16,16,cuda_shared_constant_filter,8,8,500.296992,22.971017,passed
1024,1024,3,box,cuda_register_tiled,16,16,cuda_shared_memory_tiled,16,16,352.580843,4.893817,passed
1024,1024,3,gaussian,cuda_register_tiled,32,16,cuda_multi_output,8,8,340.591436,4.966997,passed
1024,1024,3,sharpen,cuda_register_tiled,16,16,cuda_shared_memory_tiled,8,8,354.456538,4.890007,passed
1024,1024,3,sobel,cuda_register_tiled,32,8,cuda_shared_constant_filter,32,8,353.505328,5.071854,passed
1024,1024,5,box,cuda_separable,32,16,cuda_shared_constant_filter,16,16,463.216741,11.213356,passed
1024,1024,5,gaussian,cuda_separable,16,16,cuda_shared_memory_tiled,32,16,485.551282,11.075141,passed
1024,1024,5,sharpen,cuda_register_tiled,32,8,cuda_register_tiled,32,16,417.775513,11.356259,passed
1024,1024,5,sobel,cuda_register_tiled,32,8,cuda_naive_global_memory,8,8,386.792491,10.741975,passed
1024,1024,7,box,cuda_separable,32,8,cuda_shared_constant_filter,32,16,702.399347,19.960456,passed
1024,1024,7,gaussian,cuda_separable,8,8,cuda_register_tiled,16,16,692.245995,20.149620,passed
1024,1024,7,sharpen,cuda_shared_constant_filter,32,16,cuda_shared_constant_filter,32,8,492.019892,20.186943,passed
1024,1024,7,sobel,cuda_shared_constant_filter,16,16,cuda_shared_constant_filter,32,16,497.879765,20.534398,passed
1024,1024,11,box,cuda_separable,16,16,cuda_register_tiled,16,16,1338.129858,39.311463,passed
1024,1024,11,gaussian,cuda_separable,16,16,cuda_shared_constant_filter,16,16,1318.255338,41.863847,passed
1024,1024,11,sharpen,cuda_shared_constant_filter,32,16,cuda_shared_constant_filter,32,16,638.312034,41.509399,passed
1024,1024,11,sobel,cuda_shared_constant_filter,16,16,cuda_shared_constant_filter,32,16,626.842359,43.340011,passed
2048,2048,3,box,cuda_register_tiled,32,8,cuda_register_tiled,16,16,460.852093,7.579559,passed
2048,2048,3,gaussian,cuda_register_tiled,16,16,cuda_register_tiled,32,8,453.809623,7.612714,passed
2048,2048,3,sharpen,cuda_register_tiled,32,8,cuda_shared_constant_filter,8,8,439.410518,5.011805,passed
2048,2048,3,sobel,cuda_register_tiled,32,8,cuda_naive_global_memory,32,8,426.267606,7.406983,passed
2048,2048,5,box,cuda_register_tiled,16,16,cuda_register_tiled,16,16,477.932188,15.791727,passed
2048,2048,5,gaussian,cuda_separable,8,8,cuda_naive_global_memory,16,16,304.280599,14.290182,passed
2048,2048,5,sharpen,cuda_register_tiled,16,16,cuda_register_tiled,16,16,258.595329,13.999212,passed
2048,2048,5,sobel,cuda_register_tiled,16,16,cuda_register_tiled,32,16,262.204017,14.130857,passed
2048,2048,7,box,cuda_separable,32,8,cuda_register_tiled,32,16,423.917807,24.969731,passed
2048,2048,7,gaussian,cuda_separable,32,8,cuda_shared_constant_filter,32,16,433.562373,25.354354,passed
2048,2048,7,sharpen,cuda_shared_constant_filter,32,16,cuda_register_tiled,32,16,299.116247,25.091423,passed
2048,2048,7,sobel,cuda_shared_constant_filter,16,16,cuda_shared_constant_filter,32,8,305.838429,25.564159,passed
2048,2048,11,box,cuda_separable,32,16,cuda_separable,32,16,980.454824,57.131074,passed
2048,2048,11,gaussian,cuda_separable,32,8,cuda_register_tiled,32,16,921.246030,39.223338,passed
2048,2048,11,sharpen,cuda_shared_constant_filter,32,16,cuda_shared_constant_filter,32,16,475.055187,58.942494,passed
2048,2048,11,sobel,cuda_shared_constant_filter,32,16,cuda_shared_constant_filter,32,16,470.896458,59.588252,passed
4096,4096,3,box,cuda_register_tiled,8,8,cuda_shared_memory_tiled,8,8,222.098113,8.195157,passed
4096,4096,3,gaussian,cuda_register_tiled,32,16,cuda_register_tiled,32,16,217.743863,7.751142,passed
4096,4096,3,sharpen,cuda_register_tiled,16,16,cuda_register_tiled,8,8,240.450868,7.778854,passed
4096,4096,3,sobel,cuda_register_tiled,32,16,cuda_register_tiled,32,16,202.185815,7.957209,passed
4096,4096,5,box,cuda_register_tiled,32,8,cuda_register_tiled,32,16,332.322052,18.039941,passed
4096,4096,5,gaussian,cuda_separable,32,8,cuda_register_tiled,32,16,268.397418,16.560750,passed
4096,4096,5,sharpen,cuda_register_tiled,32,8,cuda_register_tiled,32,8,371.145233,20.302967,passed
4096,4096,5,sobel,cuda_register_tiled,32,8,cuda_register_tiled,32,8,309.996043,17.523707,passed
4096,4096,7,box,cuda_separable,8,8,cuda_shared_constant_filter,16,16,473.212821,32.303849,passed
4096,4096,7,gaussian,cuda_separable,8,8,cuda_register_tiled,32,8,486.638934,33.713697,passed
4096,4096,7,sharpen,cuda_shared_constant_filter,32,16,cuda_register_tiled,32,8,333.445701,30.896188,passed
4096,4096,7,sobel,cuda_shared_constant_filter,32,16,cuda_register_tiled,32,8,346.243877,31.713195,passed
4096,4096,11,box,cuda_separable,16,16,cuda_shared_constant_filter,32,16,1173.957732,77.617884,passed
4096,4096,11,gaussian,cuda_separable,16,16,cuda_shared_constant_filter,16,16,1165.410367,78.070018,passed
4096,4096,11,sharpen,cuda_shared_constant_filter,16,16,cuda_shared_constant_filter,32,8,763.007271,77.281609,passed
4096,4096,11,sobel,cuda_shared_constant_filter,32,16,cuda_shared_constant_filter,32,16,784.821102,79.304347,passed
