image_width,image_height,filter_size,filter_type,version,device_name,block_width,block_height,repeat_count,estimated_operations,cpu_time_ms,cpu_min_time_ms,cpu_max_time_ms,cpu_stddev_time_ms,gpu_kernel_time_ms,gpu_kernel_min_time_ms,gpu_kernel_max_time_ms,gpu_kernel_stddev_time_ms,gpu_total_time_ms,gpu_total_min_time_ms,gpu_total_max_time_ms,gpu_total_stddev_time_ms,gpu_allocation_time_ms,gpu_host_to_device_time_ms,gpu_device_to_host_time_ms,gpu_free_time_ms,kernel_speedup,total_speedup,cpu_gflops,gpu_kernel_gflops,max_abs_error,mean_abs_error,passed
512,512,3,box,cuda_naive_global_memory,"NVIDIA GeForce GTX 1650 with Max-Q Design",8,8,5,4718592,5.864000,5.372100,6.314800,0.299819,0.086899,0.073696,0.124608,0.019099,20.664599,20.651396,20.702308,0.019099,6.586000,12.890000,0.599700,0.502000,67.480482,0.283770,0.804671,54.299601,0.000000,0.000000,true
512,512,3,box,cuda_shared_memory_tiled,"NVIDIA GeForce GTX 1650 with Max-Q Design",8,8,5,4718592,5.864000,5.372100,6.314800,0.299819,0.078598,0.075808,0.079776,0.001492,2.071698,2.068908,2.072876,0.001492,0.388100,0.537300,0.569100,0.498600,74.607116,2.830528,0.804671,60.034198,0.000000,0.000000,true
512,512,3,box,cuda_shared_constant_filter,"NVIDIA GeForce GTX 1650 with Max-Q Design",8,8,5,4718592,5.864000,5.372100,6.314800,0.299819,0.104058,0.100128,0.109952,0.003709,5.710358,5.706428,5.716252,0.003709,3.131600,1.241100,0.636700,0.596900,56.353404,1.026906,0.804671,45.345962,0.000000,0.000000,true
512,512,3,box,cuda_multi_output,"NVIDIA GeForce GTX 1650 with Max-Q Design",8,8,5,4718592,5.864000,5.372100,6.314800,0.299819,0.095200,0.077312,0.124864,0.016408,6.409100,6.391212,6.438764,0.016408,0.382500,0.579600,2.287100,3.064700,61.596639,0.914949,0.804671,49.565042,0.000000,0.000000,true
512,512,3,box,cuda_register_tiled,"NVIDIA GeForce GTX 1650 with Max-Q Design",8,8,5,4718592,5.864000,5.372100,6.314800,0.299819,0.070573,0.068832,0.073440,0.001735,2.254773,2.253032,2.257640,0.001735,0.394400,0.582500,0.638800,0.568500,83.091502,2.600705,0.804671,66.861339,0.000000,0.000000,true
512,512,3,box,cuda_separable,"NVIDIA GeForce GTX 1650 with Max-Q Design",8,8,5,3145728,5.864000,5.372100,6.314800,0.299819,0.094950,0.090976,0.102400,0.004146,9.661450,9.657476,9.668900,0.004146,3.052900,2.805500,1.820700,1.887400,61.758560,0.606948,0.536447,33.130224,0.000000,0.000000,true
512,512,3,box,cuda_naive_global_memory,"NVIDIA GeForce GTX 1650 with Max-Q Design",16,16,5,4718592,5.864000,5.372100,6.314800,0.299819,0.087514,0.080608,0.098304,0.006007,7.189214,7.182308,7.200004,0.006007,0.998700,0.775700,2.613000,2.714300,67.006728,0.815666,0.804671,53.918385,0.000000,0.000000,true
512,512,3,box,cuda_shared_memory_tiled,"NVIDIA GeForce GTX 1650 with Max-Q Design",16,16,5,4718592,5.864000,5.372100,6.314800,0.299819,0.079174,0.077824,0.080992,0.001265,2.512174,2.510824,2.513992,0.001265,0.596600,0.493900,0.798500,0.544000,74.064345,2.334233,0.804671,59.597446,0.000000,0.000000,true
512,512,3,box,cuda_shared_constant_filter,"NVIDIA GeForce GTX 1650 with Max-Q Design",16,16,5,4718592,5.864000,5.372100,6.314800,0.299819,0.070426,0.068256,0.071936,0.001272,4.600326,4.598156,4.601836,0.001272,1.832000,1.413800,0.746300,0.537800,83.265178,1.274692,0.804671,67.001092,0.000000,0.000000,true
512,512,3,box,cuda_multi_output,"NVIDIA GeForce GTX 1650 with Max-Q Design",16,16,5,4718592,5.864000,5.372100,6.314800,0.299819,0.061581,0.053824,0.086016,0.012340,2.494281,2.486524,2.518716,0.012340,0.601500,0.521600,0.859200,0.450400,95.224485,2.350978,0.804671,76.624402,0.000000,0.000000,true
