image_width,image_height,filter_size,filter_type,version,device_name,block_width,block_height,repeat_count,estimated_operations,cpu_time_ms,cpu_min_time_ms,cpu_max_time_ms,cpu_stddev_time_ms,gpu_kernel_time_ms,gpu_kernel_min_time_ms,gpu_kernel_max_time_ms,gpu_kernel_stddev_time_ms,gpu_total_time_ms,gpu_total_min_time_ms,gpu_total_max_time_ms,gpu_total_stddev_time_ms,gpu_allocation_time_ms,gpu_host_to_device_time_ms,gpu_device_to_host_time_ms,gpu_free_time_ms,kernel_speedup,total_speedup,cpu_gflops,gpu_kernel_gflops,max_abs_error,mean_abs_error,passed
512,512,3,box,cuda_naive_global_memory,"NVIDIA GeForce RTX 4070 Laptop GPU",8,8,5,4718592,2.203500,2.183700,2.266000,0.031473,0.027424,0.018336,0.047104,0.011444,1.476424,1.467336,1.496104,0.011444,0.285200,0.607800,0.177500,0.378500,80.349328,1.492457,2.141408,172.060676,0.000000,0.000000,true
512,512,3,box,cuda_shared_memory_tiled,"NVIDIA GeForce RTX 4070 Laptop GPU",8,8,5,4718592,2.203500,2.183700,2.266000,0.031473,0.015770,0.013312,0.017408,0.001389,0.972370,0.969912,0.974008,0.001389,0.170700,0.357800,0.157600,0.270500,139.730875,2.266114,2.141408,299.220780,0.000000,0.000000,true
512,512,3,box,cuda_shared_constant_filter,"NVIDIA GeForce RTX 4070 Laptop GPU",8,8,5,4718592,2.203500,2.183700,2.266000,0.031473,0.024595,0.017408,0.049248,0.012343,1.050395,1.043208,1.075048,0.012343,0.193700,0.347800,0.154300,0.330000,89.590652,2.097782,2.141408,191.850118,0.000000,0.000000,true
512,512,3,box,cuda_multi_output,"NVIDIA GeForce RTX 4070 Laptop GPU",8,8,5,4718592,2.203500,2.183700,2.266000,0.031473,0.015360,0.015360,0.015360,0.000000,0.943960,0.943960,0.943960,0.000000,0.156300,0.337100,0.151500,0.283700,143.457035,2.334315,2.141408,307.200008,0.000000,0.000000,true
512,512,3,box,cuda_register_tiled,"NVIDIA GeForce RTX 4070 Laptop GPU",8,8,5,4718592,2.203500,2.183700,2.266000,0.031473,0.017818,0.013312,0.031744,0.006993,0.967718,0.963212,0.981644,0.006993,0.181100,0.346100,0.159100,0.263600,123.669855,2.277007,2.141408,264.827588,0.000000,0.000000,true
512,512,3,box,cuda_separable,"NVIDIA GeForce RTX 4070 Laptop GPU",8,8,5,3145728,2.203500,2.183700,2.266000,0.031473,0.020064,0.019456,0.020480,0.000497,0.919264,0.918656,0.919680,0.000497,0.163100,0.321200,0.138300,0.276600,109.823568,2.397026,1.427605,156.784695,0.000000,0.000000,true
512,512,3,box,cuda_naive_global_memory,"NVIDIA GeForce RTX 4070 Laptop GPU",16,16,5,4718592,2.203500,2.183700,2.266000,0.031473,0.014285,0.013312,0.015360,0.000656,0.949785,0.948812,0.950860,0.000656,0.134600,0.363200,0.164500,0.273200,154.254872,2.319999,2.141408,330.322581,0.000000,0.000000,true
512,512,3,box,cuda_shared_memory_tiled,"NVIDIA GeForce RTX 4070 Laptop GPU",16,16,5,4718592,2.203500,2.183700,2.266000,0.031473,0.015962,0.015360,0.016384,0.000492,0.935762,0.935160,0.936184,0.000492,0.130900,0.385000,0.131500,0.272400,138.050073,2.354766,2.141408,295.621497,0.000000,0.000000,true
512,512,3,box,cuda_shared_constant_filter,"NVIDIA GeForce RTX 4070 Laptop GPU",16,16,5,4718592,2.203500,2.183700,2.266000,0.031473,0.020026,0.014336,0.040800,0.010416,0.960826,0.955136,0.981600,0.010416,0.139900,0.352900,0.145100,0.302900,110.034155,2.293340,2.141408,235.627993,0.000000,0.000000,true
512,512,3,box,cuda_multi_output,"NVIDIA GeForce RTX 4070 Laptop GPU",16,16,5,4718592,2.203500,2.183700,2.266000,0.031473,0.021728,0.016384,0.038912,0.008619,0.867928,0.862584,0.885112,0.008619,0.125300,0.313400,0.141600,0.265900,101.412925,2.538805,2.141408,217.166424,0.000000,0.000000,true
512,512,3,box,cuda_register_tiled,"NVIDIA GeForce RTX 4070 Laptop GPU",16,16,5,4718592,2.203500,2.183700,2.266000,0.031473,0.012454,0.011264,0.013312,0.000728,0.914454,0.913264,0.915312,0.000728,0.116900,0.354600,0.161900,0.268600,176.925421,2.409634,2.141408,378.869469,0.000000,0.000000,true
512,512,3,box,cuda_separable,"NVIDIA GeForce RTX 4070 Laptop GPU",16,16,5,3145728,2.203500,2.183700,2.266000,0.031473,0.036160,0.023360,0.040960,0.006478,0.852560,0.839760,0.857360,0.006478,0.177500,0.256800,0.144000,0.238100,60.937500,2.584569,1.427605,86.994690,0.000000,0.000000,true
